Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Shazam Counts
123.9,2548389305.0,339306.0,75858140.0,78.0,9384427.0,1900813.0,44442433.0,338071383.0,274498079.0,153.0,69562.0,132.0,54.0,442640.0,36.0,9308937.0
121.9,922010059.0,107189.0,61174155.0,79.0,567295.0,285414.0,61112010.0,811685466.0,182412108.0,106.0,18364.0,1846.0,7.0,33712.0,38.0,2665347.0
120.8,1754311538.0,271758.0,62218811.0,74.0,7686994.0,1036355.0,225139300.0,2658904267.0,3526952174.0,454.0,1347725.0,1035.0,352.0,7318680.0,136.0,15886717.0
116.5,630373315.0,70400.0,105320547.0,84.0,246731.0,215433.0,70110809.0,586454750.0,207483261.0,95.0,83414.0,35.0,47.0,9094602.0,112.0,1673932.0
115.9,474590289.0,24891.0,25915889.0,78.0,1569516.0,136500.0,32754141.0,509287649.0,1484713132.0,27.0,15783.0,215.0,22.0,2762020.0,27.0,1173817.0
114.2,689181455.0,61138.0,90492257.0,83.0,738123.0,213300.0,49332435.0,487440417.0,546833520.0,67.0,32507.0,175.0,51.0,13729294.0,44.0,930098.0
112.5,827950825.0,118965.0,64661540.0,73.0,2751490.0,172228.0,118133115.0,1359837461.0,3624466116.0,83.0,761996.0,2175.0,43.0,3276564.0,70.0,3384275.0
111.4,1126986320.0,200887.0,45885823.0,73.0,5388022.0,461623.0,313934124.0,2305840359.0,2451087344.0,77.0,148360.0,719.0,22.0,379311.0,35.0,3897680.0
111.1,89362910.0,7377.0,70714216.0,84.0,525264.0,361700.0,71058620.0,476545000.0,126493852.0,52.0,52534.0,976.0,4.0,57534.0,58.0,514293.0
110.1,804925777.0,128247.0,62532855.0,75.0,1729347.0,935169.0,362063344.0,3209982240.0,841611064.0,138.0,400246.0,65.0,65.0,8982560.0,66.0,6548714.0
109.7,971473231.0,239671.0,77479207.0,78.0,2003253.0,803500.0,85725313.0,926300276.0,327806846.0,110.0,1041.0,641.0,18.0,314003.0,57.0,3142892.0
109.5,1125681368.0,251023.0,32574699.0,72.0,3322075.0,5487112.0,345484397.0,2775640343.0,258709304.0,119.0,372838.0,744.0,21.0,94686.0,22.0,3908069.0
107.4,2042792456.0,198888.0,69311277.0,75.0,20528541.0,3897257.0,208270183.0,2216715741.0,2352917415.0,180.0,320792.0,300.0,69.0,646681.0,89.0,14816076.0
106.9,2447973078.0,221822.0,90174192.0,78.0,15274815.0,52698.0,11103476.0,168789459.0,2310840501.0,261.0,228874.0,135.0,158.0,1551217.0,95.0,153863.0
106.4,371886608.0,98009.0,19411516.0,67.0,1904397.0,3035139.0,98505939.0,1454848289.0,269311214.0,162.0,85871.0,230.0,47.0,2772886.0,67.0,8870769.0
105.8,1087938471.0,220515.0,63054597.0,73.0,2050299.0,902163.0,360938850.0,2783442788.0,2111662944.0,132.0,2962.0,1461.0,69.0,3999785.0,58.0,4118983.0
105.5,721002940.0,84161.0,56226278.0,79.0,1343262.0,372100.0,71411756.0,752868970.0,535715103.0,47.0,51158.0,44.0,39.0,1537049.0,64.0,1148958.0
105.2,684204777.0,48370.0,25130304.0,78.0,1617493.0,777100.0,112400175.0,1207597707.0,297822969.0,51.0,4811.0,27.0,22.0,13901598.0,32.0,1567605.0
104.4,31612906.0,3887.0,106475497.0,76.0,171470.0,535464.0,171691158.0,1051026401.0,480.0,38.0,1638.0,13.0,3.0,153459.0,69.0,336779.0
104.4,706356280.0,166277.0,62975073.0,77.0,1750863.0,32432.0,14181961.0,108461504.0,205280243.0,56.0,72856.0,331.0,13.0,1040628.0,41.0,2363066.0
104.2,1181348550.0,170002.0,34000497.0,62.0,22334292.0,3823774.0,33020704.0,283835852.0,190757316.0,245.0,22143.0,113.0,63.0,559832.0,14.0,10372624.0
102.4,205468104.0,30639.0,39407660.0,69.0,1364492.0,67350.0,33519594.0,503074793.0,1819751244.0,97.0,419595.0,266.0,64.0,1571733.0,62.0,1999859.0
101.4,1042311849.0,154178.0,58833842.0,80.0,2649848.0,2321933.0,467461517.0,3656967030.0,313752369.0,79.0,18211.0,111.0,48.0,636981.0,41.0,3315939.0
101.4,186579651.0,45668.0,6252506.0,62.0,1670867.0,249537.0,11127302.0,117325107.0,533205544.0,43.0,200850.0,717.0,4.0,290227.0,9.0,2561322.0
100.1,665716137.0,97057.0,33252792.0,80.0,2896698.0,2900087.0,216927444.0,2653383273.0,862779648.0,33.0,77764.0,119.0,51.0,27583086.0,60.0,5502998.0
99.8,1262308912.0,234936.0,83890841.0,74.0,2067331.0,865354.0,1031153514.0,8988453878.0,4898615770.0,97.0,116337.0,620.0,40.0,2380981.0,45.0,4350230.0
